"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Este teste valida a mensagem de campo obrigatório ao não preencher o email.","1486","Deve exibir mensagem de campo obrigatório ao não preencher o email","","Mon Jul 14 22:13:47 UTC 2025","passed","Mon Jul 14 22:13:48 UTC 2025","","Teste da funcionalidade de cadastro","",""
"Este teste valida a mensagem de campo obrigatório ao não preencher a confirmação de senha.","1502","Deve exibir mensagem de campo obrigatório ao não preencher a confirmação de senha","","Mon Jul 14 22:13:51 UTC 2025","passed","Mon Jul 14 22:13:53 UTC 2025","","Teste da funcionalidade de cadastro","",""
"Este teste valida a mensagem de campo obrigatório ao não preencher a senha.","1456","Deve exibir mensagem de campo obrigatório ao não preencher a senha","","Mon Jul 14 22:13:50 UTC 2025","passed","Mon Jul 14 22:13:51 UTC 2025","","Teste da funcionalidade de cadastro","",""
"Este teste valida a mensagem de erro ao tentar cadastrar uma conta com email já cadastrado.","7537","Deve exibir mensagem de erro ao tentar cadastrar uma conta com email já cadastrado","","Mon Jul 14 22:13:55 UTC 2025","failed","Mon Jul 14 22:14:02 UTC 2025","","Teste da funcionalidade de cadastro","",""
"Este teste valida a mensagem de campo obrigatório ao não preencher o nome.","1743","Deve exibir mensagem de campo obrigatório ao não preencher o nome","","Mon Jul 14 22:13:48 UTC 2025","passed","Mon Jul 14 22:13:50 UTC 2025","","Teste da funcionalidade de cadastro","",""
"Este teste valida o fluxo principal de cadastro de um novo usuário com saldo na conta.","2143","Deve cadastrar uma nova conta com sucesso","","Mon Jul 14 22:13:45 UTC 2025","passed","Mon Jul 14 22:13:47 UTC 2025","","Teste da funcionalidade de cadastro","",""
"Este teste valida a mensagem de erro ao tentar confirmar o cadastro com senhas e confirmação de senha diferentes.","1839","Deve exibir mensagem de erro ao tentar confirmar o cadastro com senhas e confirmação de senha diferentes","","Mon Jul 14 22:13:53 UTC 2025","passed","Mon Jul 14 22:13:55 UTC 2025","","Teste da funcionalidade de cadastro","",""
